brand,model,model_year,milage,fuel_type,ext_col,int_col,accident,horse_power,displacement_L,cylinder,transmission_clean
gmc,Yukon Xl,2016,93000,gasoline,Black,Black,Accident Reported,355.0,5.3,8.0,Automatic
audi,A7 3.0T,2019,45900,hybrid,Black,Black,Accident Reported,335.0,3.0,6.0,unknown
lincoln,Navigator L,2016,115600,gasoline,Black,Black,None reported,380.0,3.5,6.0,Automatic
volkswagen,Arteon 2.0T,2020,15500,gasoline,Silver,Black,None reported,268.0,2.0,4.0,Automatic
tesla,Model Y,2023,10000,unknown,Blue,Black,None reported,425.0,3.5,6.0,Automatic
gmc,Yukon Xl,2018,45617,gasoline,White,Gray,None reported,420.0,6.2,8.0,Automatic
cadillac,Xt5 Luxury,2019,44692,gasoline,Bronze Dune Metallic,Shara Beige,None reported,310.0,3.6,6.0,Automatic
honda,Civic Lx,2016,96473,gasoline,Black,Black,None reported,310.0,2.0,6.0,CVT
ford,E350 Super,2012,163000,e85 flex fuel,White,Gray,None reported,255.0,5.4,8.0,Automatic
toyota,Camry Xle,2007,98528,gasoline,White,Gray,Accident Reported,158.0,2.4,4.0,Automatic
infiniti,Qx60 Base,2018,48000,gasoline,Black,Black,None reported,295.0,3.5,6.0,CVT
jeep,Wrangler Sahara,2011,55000,gasoline,Red,Black,Accident Reported,202.0,3.8,6.0,Automatic
bmw,428 I,2015,125000,gasoline,White,Black,None reported,240.0,2.0,4.0,Automatic
infiniti,Q50 Hybrid,2015,88977,hybrid,Gray,Black,Accident Reported,354.0,3.5,6.0,Automatic
subaru,Brz Limited,2013,129858,gasoline,Silver,Black,Accident Reported,200.0,2.0,4.0,Automatic
jeep,Liberty Sport,2003,103000,gasoline,Black,Gray,None reported,210.0,3.7,6.0,Automatic
dodge,Challenger Se,2010,90305,gasoline,Gray,Black,None reported,250.0,3.5,6.0,Automatic
dodge,Ram 1500,2011,188000,gasoline,Silver,Black,Accident Reported,210.0,3.7,6.0,Automatic
audi,S6 4.0T,2016,91188,gasoline,Black,Black,None reported,450.0,4.0,8.0,Automatic
bmw,Alpina B7,2020,65852,gasoline,Black,Mocha,None reported,310.0,4.4,6.0,Automatic
bmw,535 I,2015,65000,gasoline,Silver,Black,None reported,300.0,3.0,6.0,unknown
lexus,Rx 450H,2021,31365,hybrid,Beige,Red,None reported,310.0,3.5,6.0,CVT
jeep,Gladiator Sport,2020,13000,gasoline,Gray,–,None reported,285.0,3.6,6.0,Automatic
cadillac,Escalade Platinum,2012,160249,e85 flex fuel,Black,Black,None reported,403.0,6.2,8.0,Automatic
mercedes-benz,Sl-Class Sl,2015,11249,gasoline,White,Beige,None reported,429.0,4.7,8.0,Automatic
tesla,Model Y,2020,88000,unknown,Gray,White,None reported,425.0,3.5,6.0,Automatic
mercedes-benz,E-Class E,2012,31130,gasoline,Black,Black,None reported,302.0,3.5,6.0,Automatic
chevrolet,Equinox Premier,2020,51133,gasoline,Iridescent Pearl Tricoat,Jet Black,Accident Reported,310.0,2.0,6.0,Automatic
chevrolet,Suburban Premier,2021,51890,gasoline,Shadow Gray Metallic,Jet Black,None reported,310.0,5.3,6.0,Automatic
ford,Expedition Limited,2016,85253,gasoline,White,Beige,None reported,365.0,3.5,6.0,Automatic
audi,Tts 2.0T,2012,72922,gasoline,White,Black,None reported,265.0,2.0,4.0,Automatic
toyota,4Runner Trd,2021,35048,gasoline,Lunar Rock,Black / Graphite,None reported,310.0,4.0,6.0,Automatic
jaguar,Xk R,2012,38383,gasoline,White,Black,None reported,510.0,5.0,8.0,Automatic
ford,F-150 Limited,2019,42728,gasoline,Black,Brown,None reported,450.0,3.5,6.0,unknown
acura,Rdx Advance,2021,29000,gasoline,Black,Black,None reported,272.0,2.0,4.0,Automatic
jeep,Gladiator Rubicon,2022,27300,gasoline,Green,Black,None reported,285.0,3.6,6.0,Automatic
subaru,Impreza Wrx,2010,8700,gasoline,Gray,Black,None reported,305.0,2.5,4.0,Manual
ford,Explorer Sport,2007,228000,gasoline,Red,Beige,Accident Reported,292.0,4.6,8.0,Automatic
nissan,Maxima Gle,2000,194277,gasoline,Blue,Beige,Accident Reported,222.0,3.0,6.0,Automatic
volkswagen,Atlas 3.6L,2022,14000,gasoline,Gray,Black,None reported,276.0,3.6,6.0,Automatic
infiniti,Qx80 Luxe,2022,49860,gasoline,Black Obsidian,Graphite,Accident Reported,310.0,5.6,6.0,Automatic
honda,Accord Hybrid,2017,96400,hybrid,White,Beige,Accident Reported,212.0,2.0,4.0,CVT
chevrolet,Camaro 1Ss,2017,39000,gasoline,Yellow,Black,None reported,455.0,6.2,8.0,Automatic
ford,Transit Connect,2016,111700,e85 flex fuel,White,Beige,None reported,169.0,2.5,4.0,Automatic
dodge,Dart Se,2016,76857,gasoline,Black,Black,Accident Reported,160.0,2.0,4.0,Manual
bmw,740E Xdrive,2019,33214,plug-in hybrid,White,Black,None reported,322.0,2.0,4.0,Automatic
scion,Fr-S Monogram,2014,163019,gasoline,Black,Black,Accident Reported,200.0,2.0,4.0,Manual
ford,Mustang Svt,2003,16100,gasoline,Red,Beige,None reported,390.0,4.6,8.0,Manual
lincoln,Town Car,2004,27600,gasoline,Black,White,None reported,239.0,4.6,8.0,Automatic
toyota,Highlander Hybrid,2006,264893,hybrid,Gold,Beige,Accident Reported,208.0,3.3,6.0,Automatic
tesla,Model S,2014,96800,unknown,Blue,Black,None reported,362.0,3.5,6.0,Automatic
ford,Bronco Sport,2022,16700,gasoline,Blue,Black,None reported,181.0,1.5,3.0,Automatic
nissan,Maxima 3.5,2019,72150,gasoline,White,Black,Accident Reported,300.0,3.5,6.0,CVT
cadillac,Escalade Ext,2007,99000,gasoline,Black,Black,None reported,403.0,6.2,8.0,Automatic
ford,F-150 Raptor,2020,33000,gasoline,Blue,Black,None reported,450.0,3.5,6.0,Automatic
porsche,911 Carrera,2013,52044,gasoline,White,Gray,None reported,400.0,3.8,6.0,Manual
mercedes-benz,E-Class E,2010,86121,gasoline,Gray,Black,None reported,268.0,3.5,6.0,Automatic
bmw,750 I,2019,33499,gasoline,Gray,Black,Accident Reported,445.0,4.4,8.0,Automatic
jaguar,F-Type S,2014,74595,gasoline,Green,Black,Accident Reported,495.0,5.0,8.0,Automatic
chevrolet,Impala 2Lz,2018,71312,gasoline,Black,Black,None reported,305.0,3.6,6.0,Automatic
bmw,X7 Xdrive40I,2021,30309,hybrid,Blue,Tan,None reported,310.0,3.0,6.0,Automatic
ford,Explorer Platinum,2021,64957,gasoline,Black,Light Slate,None reported,310.0,3.0,6.0,Automatic
honda,Pilot Elite,2021,42653,gasoline,Gray,Black,None reported,310.0,3.5,6.0,Automatic
